"Variant ID","Product Name","Product Type","Product Color","Product Size","Product Image","Product Weight (oz)","Height (In)","Length (In)","Width (In)",Categories,"Product Price",Notes
22189,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Irish Green)",Apparel,"Irish Green",M,https://files.cdn.printful.com/products/849/22189_1738763805.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22190,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Navy)",Apparel,Navy,M,https://files.cdn.printful.com/products/849/22190_1738763815.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22191,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Purple)",Apparel,Purple,M,https://files.cdn.printful.com/products/849/22191_1738763846.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22192,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, RS Sport Grey)",Apparel,"RS Sport Grey",M,https://files.cdn.printful.com/products/849/22192_1738764040.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22193,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Red)",Apparel,Red,M,https://files.cdn.printful.com/products/849/22193_1738763978.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22194,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Royal)",Apparel,Royal,M,https://files.cdn.printful.com/products/849/22194_1738763989.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22195,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, White)",Apparel,White,M,https://files.cdn.printful.com/products/849/22195_1738764050.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22196,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Azalea)",Apparel,Azalea,L,https://files.cdn.printful.com/products/849/22196_1738763702.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22197,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Black)",Apparel,Black,L,https://files.cdn.printful.com/products/849/22197_1738763733.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22198,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Charcoal)",Apparel,Charcoal,L,https://files.cdn.printful.com/products/849/22198_1738763763.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22199,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Heliconia)",Apparel,Heliconia,L,https://files.cdn.printful.com/products/849/22199_1738763784.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22200,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Irish Green)",Apparel,"Irish Green",L,https://files.cdn.printful.com/products/849/22200_1738763805.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22201,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Navy)",Apparel,Navy,L,https://files.cdn.printful.com/products/849/22201_1738763816.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22202,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Purple)",Apparel,Purple,L,https://files.cdn.printful.com/products/849/22202_1738763836.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22203,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, RS Sport Grey)",Apparel,"RS Sport Grey",L,https://files.cdn.printful.com/products/849/22203_1738764040.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22204,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Red)",Apparel,Red,L,https://files.cdn.printful.com/products/849/22204_1738763969.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22205,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, Royal)",Apparel,Royal,L,https://files.cdn.printful.com/products/849/22205_1738763989.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22206,"Women's Basic Softstyle T-Shirt | Gildan 64000L (L, White)",Apparel,White,L,https://files.cdn.printful.com/products/849/22206_1738764050.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.25,
22207,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Azalea)",Apparel,Azalea,XL,https://files.cdn.printful.com/products/849/22207_1738763733.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22208,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Black)",Apparel,Black,XL,https://files.cdn.printful.com/products/849/22208_1738763753.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22209,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Charcoal)",Apparel,Charcoal,XL,https://files.cdn.printful.com/products/849/22209_1738763765.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22210,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Heliconia)",Apparel,Heliconia,XL,https://files.cdn.printful.com/products/849/22210_1738763794.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22211,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Irish Green)",Apparel,"Irish Green",XL,https://files.cdn.printful.com/products/849/22211_1738763815.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22212,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Navy)",Apparel,Navy,XL,https://files.cdn.printful.com/products/849/22212_1738763836.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22213,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Purple)",Apparel,Purple,XL,https://files.cdn.printful.com/products/849/22213_1738763846.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
